open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume,ema_10,ema_20,ema_50,sma_30,sma_52,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,bb_width,bb_position,atr_14,volume_sma_10,volume_ratio,price_change_1w,price_change_4w,price_change_12w,price_change_52w
2020-06-22,228.03,249.24,216.0,224.93,4445766.32605,2020-06-28 23:59:59.999,1039118340.1225132,1455509,2215596.57013,517927534.75550175,215.11229334041843,202.11798954514416,198.41002141836935,185.26200000000003,188.86500000000004,75.56175576702705,13.37216425885029,7.795511725093139,5.5766525337571515,287.5968208370796,198.251,108.90517916292043,0.9013404304349494,0.6493018909560899,31.941428571428577,5198880.307256,0.8551391960005523,-1.363795825293801,-2.8673835125447966,57.64648163723016,-23.15339938503587
2020-06-29,224.89,232.71,221.26,227.56,3100841.13838,2020-07-05 23:59:59.999,703327753.8520758,1139501,1539353.53757,349216628.5949865,217.37551273306963,204.54103815989234,199.5531578333353,187.83266666666665,187.38115384615384,75.61642473652813,13.652300333797626,8.966869446834037,4.685430886963589,282.59408198876736,196.6865,110.77891801123266,0.8735483318760296,0.6796901931428869,31.055000000000003,4778296.747452,0.6489427723452935,1.1692526563819916,-6.9512594046450715,43.48950122958573,-25.321606720924127
2020-07-06,227.54,248.88,226.93,242.79,4289886.14639,2020-07-12 23:59:59.999,1029302199.562206,1558056,2141033.97238,513723476.7861537,221.99632859978425,208.18379643037878,201.2487202712437,191.17700000000002,187.7069230769231,75.2535189950053,14.931127169339845,10.159720991335199,4.771406178004646,275.9905214939213,195.102,114.21347850607872,0.8291921302080069,0.7947760641389875,30.78714285714286,4518249.008454001,0.9494576634362747,6.692740376164519,4.754713724813375,34.86085652391269,7.500553464688942
2020-07-13,242.76,245.33,230.02,239.11,3001686.69182,2020-07-19 23:59:59.999,711664203.9761308,1220336,1486188.40745,352438938.69134474,225.10790521800527,211.12914915129508,202.73347633903808,194.74433333333334,187.97096153846152,71.6474889773094,15.46934047730781,11.221644888529722,4.247695588778088,278.8552447191602,196.167,113.47875528083979,0.8430392952857537,0.7596681072735929,29.479285714285716,4128179.714109,0.7271211283658625,-1.515713167758137,4.854411506753209,21.141959671699272,6.091933623214141
2020-07-20,239.12,318.75,234.05,311.0,6076641.38733,2020-07-26 23:59:59.999,1674220270.045439,2329922,3101880.05168,853897090.590227,240.7246497238225,220.64065875593366,206.97922236495816,200.63233333333332,189.88211538461536,77.69741572558475,21.449543604891716,13.267224631802122,8.182318973089593,299.1118403365106,201.7455,104.37915966348938,0.9652392775701132,1.0610486109594053,32.58571428571429,4139117.8090680004,1.4681006116852395,30.065660156413365,38.265238074067476,48.1940341179834,46.96153482657594
2020-07-27,311.02,415.85,305.86,372.42,9244824.67952,2020-08-02 23:59:59.999,3185192229.391866,3883687,4688015.62732,1616438342.7452223,264.6692588649457,235.09583411251143,213.4670959977049,208.534,192.77884615384616,81.20142602495544,30.790049831860387,16.771789671813778,14.018260160046609,331.14897054325496,214.1775,97.20602945674504,1.0922853291616061,1.1764149380403122,38.063571428571436,4530493.714993,2.040577751807848,19.749196141479096,63.65793636843031,98.58163591767091,67.91559583389694
2020-08-03,372.45,407.0,362.85,390.14,6576993.39017,2020-08-09 23:59:59.999,2566700752.564365,2972625,3266542.01327,1275652469.1126187,287.482120889501,249.86194514941508,220.3954451742655,216.654,196.1196153846154,81.5461608455239,39.170787760888715,21.251589289628768,17.919198471259946,360.49480871434,227.56850000000003,94.64219128566003,1.1682311806277228,1.111509871794333,38.50214285714286,4735184.1958719995,1.3889625235494825,4.758068847000696,60.69030849705508,88.4734299516908,80.26984567045561
2020-08-10,390.14,444.71,365.85,433.62,6590597.87305,2020-08-16 23:59:59.999,2678316928.655504,3064625,3269052.38331,1328570729.025994,314.05264436413717,267.3627122780422,228.7571924223335,225.54833333333332,200.72134615384616,90.09123492994462,48.75899226071559,26.75306988384613,22.005922376869457,395.88219997305225,243.02450000000005,90.16680002694784,1.2579612341393742,1.1234409520541022,41.49071428571428,4952773.169671,1.3306884137978392,11.144717280976057,81.3474969679227,116.91845922961481,123.13590284567488
2020-08-17,433.61,446.0,379.92,390.71,5203572.95772,2020-08-23 23:59:59.999,2136501046.9231591,2538564,2513840.32028,1032755150.6979798,327.9903453888395,279.1100730134667,235.10828291557533,232.97666666666666,204.64769230769232,77.80535795368549,52.29244031886242,31.86094397084939,20.431496348013027,414.1392848749232,255.42600000000002,96.71271512507681,1.2427339806826494,0.9261899062407185,43.79285714285714,5167486.209313,1.0069834242309084,-9.89576126562428,25.630225080385838,68.7222006304789,109.45105607376435
2020-08-24,390.72,429.89,370.0,428.94,5591687.53907,2020-08-30 23:59:59.999,2205635395.9166727,2470329,2818547.8057,1112253939.885246,346.34482804541415,293.37958986932705,242.70952672280768,240.99333333333334,209.6130769230769,81.68086754453913,57.514572668477626,36.99166971037504,20.522902958102584,438.6041510562811,268.9435,99.28284894371882,1.2616824801958864,0.9715191737267492,46.2592857142857,5412249.812949999,1.033153999227947,9.784750838217615,15.176413726437875,75.39254170755643,151.22408340166334
